session_test_id,vp_id,age,gender,trial_id,choice_reference,choice_non_reference,choice_answer,choice_time,choice_comment
abx_constant_phase_shift,2,29,male,hotelcalifornia_1_01,reference,C1,incorrect,48001,
abx_constant_phase_shift,2,29,male,square_b_1_01,reference,C1,correct,19935,
abx_constant_phase_shift,2,29,male,square_a_1_04,reference,C1,correct,6358,
abx_constant_phase_shift,2,29,male,castanets_1_03,reference,C1,correct,23182,
abx_constant_phase_shift,2,29,male,square_a_1_00,reference,C1,correct,7584,
abx_constant_phase_shift,2,29,male,square_a_1_05,reference,C1,correct,6253,
abx_constant_phase_shift,2,29,male,square_b_1_04,reference,C1,correct,9552,
abx_constant_phase_shift,2,29,male,castanets_2_05,reference,C1,correct,22475,
abx_constant_phase_shift,2,29,male,hotelcalifornia_2_04,reference,C1,correct,12289,
abx_constant_phase_shift,2,29,male,castanets_2_00,reference,C1,incorrect,11287,
abx_constant_phase_shift,2,29,male,hotelcalifornia_2_05,reference,C1,correct,86516,
abx_constant_phase_shift,2,29,male,pnoise_2_04,reference,C1,incorrect,29851,
abx_constant_phase_shift,2,29,male,square_b_2_03,reference,C1,correct,11060,
abx_constant_phase_shift,2,29,male,square_b_2_00,reference,C1,correct,5582,
abx_constant_phase_shift,2,29,male,hotelcalifornia_2_00,reference,C1,incorrect,65663,
abx_constant_phase_shift,2,29,male,castanets_2_01,reference,C1,incorrect,28659,
abx_constant_phase_shift,2,29,male,castanets_2_02,reference,C1,correct,23362,
abx_constant_phase_shift,2,29,male,square_a_2_02,reference,C1,correct,15739,
abx_constant_phase_shift,2,29,male,pnoise_2_00,reference,C1,correct,22506,
abx_constant_phase_shift,2,29,male,pnoise_2_03,reference,C1,incorrect,9377,
abx_constant_phase_shift,2,29,male,square_a_2_00,reference,C1,correct,14028,
abx_constant_phase_shift,2,29,male,hotelcalifornia_2_01,reference,C1,incorrect,68307,
abx_constant_phase_shift,2,29,male,pnoise_2_02,reference,C1,incorrect,61428,
abx_constant_phase_shift,2,29,male,castanets_2_03,reference,C1,incorrect,25128,
abx_constant_phase_shift,2,29,male,square_b_2_01,reference,C1,correct,7551,
abx_constant_phase_shift,2,29,male,pnoise_2_05,reference,C1,correct,31415,
